month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2019-10,Maryland,4065,9,3372,5731,132,37,0,3,0,0,69,154,0,78,27,0,0,0,0,35,1,2,4,1,13720
2019-10,Massachusetts,10709,0,4064,2561,473,147,1,0,0,0,12,14,0,0,0,0,0,0,43,24,10,0,1,0,18059
2019-10,Michigan,16577,3865,9550,12790,685,243,2,1,5,0,9,254,1,74,5,0,0,0,11,5,1,0,0,0,44078
2019-10,Minnesota,11039,24658,8762,16263,909,514,0,1,3,0,218,422,1,68,14,3,0,0,12,30,1,1,1,0,62920
2019-10,Mississippi,2056,0,6506,7086,369,342,0,23,13,0,1564,1143,4,36,4,0,0,0,9,9,0,1,2,0,19167
2019-10,Missouri,3109,0,16633,18732,1646,1142,0,15,9,2,1529,1145,3,345,68,5,0,0,58,41,9,4,3,0,44498
2019-10,Montana,1355,2,2612,5541,251,278,14,4,16,2,396,971,0,32,4,5,0,0,8,4,1,0,0,0,11496
2019-10,Nebraska,3365,73,81,2182,21,2,0,0,0,0,5,51,1,18,5,0,0,0,0,3,0,0,0,0,5807
2019-10,Nevada,2454,0,4402,2573,298,257,0,0,0,0,315,137,0,0,0,0,0,0,18,9,1,0,0,0,10464
2019-10,New Hampshire,1294,2,4876,3219,216,1,38,0,18,0,0,16,0,59,8,5,0,0,0,2,0,0,0,0,9754
2019-10,New Jersey,0,0,3756,3226,229,0,0,0,0,0,0,0,0,1,0,0,0,0,58,51,2,1,3,0,7327
2019-10,New Mexico,809,0,5518,3964,512,352,0,13,12,0,432,515,1,70,0,0,0,0,39,23,1,2,2,0,12265
2019-10,New York,3504,2577,8810,16600,1272,245,0,0,3,0,42,46,3,51,109,0,7,2,315,360,20,6,10,0,33982
2019-10,North Carolina,22917,50,1370,12811,1014,221,0,14,29,1,1970,1813,9,523,111,12,10,5,4,14,4,1,0,0,42903
2019-10,North Dakota,297,14,1446,3638,143,105,6,1,0,0,66,134,1,4,1,0,0,0,25,3,2,0,0,0,5886
2019-10,Ohio,10826,195,18896,16127,1706,1124,15,12,7,2,1124,633,4,84,26,3,0,0,28,15,5,1,1,0,50834
2019-10,Oklahoma,3398,0,10536,9256,1064,930,0,21,21,2,1922,1545,10,4,2,0,0,0,43,30,5,1,4,0,28794
2019-10,Oregon,5238,833,13377,10705,0,6,2,0,0,0,0,0,0,156,78,0,0,0,0,0,0,0,0,0,30395
2019-10,Pennsylvania,23379,0,44371,17094,54,0,336,0,0,0,0,0,0,711,120,1,0,0,0,0,0,0,0,0,86066
2019-10,Puerto Rico,0,0,1892,161,79,31,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,2189
2019-10,Rhode Island,0,0,942,698,66,188,0,0,0,0,0,6,0,57,68,8,0,0,10,5,1,0,1,0,2050
2019-10,South Carolina,8427,205,8542,6648,623,465,5,13,7,0,978,590,4,158,21,1,0,0,11,7,1,0,1,0,26707
2019-10,South Dakota,579,2,2216,5161,215,205,0,1,3,0,128,236,0,0,0,0,0,0,8,27,2,0,0,0,8783
2019-10,Tennessee,5513,817,21973,15268,1342,0,0,0,0,0,2,2,0,93,5,0,0,0,0,0,0,0,0,0,45015
2019-10,Texas,28826,0,41994,33957,3423,2464,1,74,44,3,6226,4030,49,75,1,0,0,0,64,54,6,1,4,3,121299
2019-10,Utah,11721,56857,2898,3819,312,0,0,5,5,0,228,341,0,119,31,25,0,0,0,0,0,0,0,0,76361
2019-10,Vermont,0,0,1283,1860,103,83,4,0,1,0,2,4,0,0,0,0,0,0,2,6,0,0,0,0,3348
2019-10,Virgin Islands,128,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
2019-10,Virginia,497,488,20887,15388,3146,2,0,0,0,0,0,0,0,72,10,0,0,0,0,0,0,0,0,0,40490
2019-10,Washington,13310,486,13948,9851,2574,40,12,6,68,4,361,973,10,550,118,14,0,0,275,307,72,0,5,0,42984
2019-10,West Virginia,3309,119,5026,6883,274,380,0,6,9,0,1009,1195,0,8,1,2,0,0,11,5,2,0,0,0,18239
2019-10,Wisconsin,8506,758,13148,15376,1028,46,0,0,1,8,118,244,5,116,35,4,0,0,0,2,0,0,0,0,39395
2019-10,Wyoming,479,19,1594,2368,142,103,0,2,4,1,130,216,1,0,0,0,0,0,2,4,0,0,2,0,5067
2019-09,Alabama,23674,605,14259,12550,1100,801,0,25,15,2,2454,1296,12,1,0,0,0,0,35,31,10,1,1,0,56872
2019-09,Alaska,200,11,2276,2766,291,180,0,1,0,0,165,131,0,30,32,0,0,0,14,7,0,2,0,0,6106
2019-09,Arizona,4812,594,12126,7629,1441,896,0,9,6,3,1159,481,7,108,11,0,0,0,8,11,6,0,0,0,29307
2019-09,Arkansas,2995,720,4535,5063,392,336,2,14,12,0,1000,1190,3,0,0,0,0,0,11,12,0,0,0,0,16285
2019-09,California,37637,0,30776,22726,3524,0,129,0,0,0,435,305,8,0,0,0,0,0,0,0,0,0,0,0,95540
2019-09,Colorado,5583,0,14614,12289,1520,1015,1,0,0,0,0,0,0,255,54,2,0,0,0,0,0,0,0,0,35333
2019-09,Connecticut,5507,438,4115,1726,577,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12365
2019-09,Delaware,207,0,1397,1378,134,62,0,0,1,0,5,11,0,81,0,0,0,0,52,22,5,1,0,0,3356
2019-09,District of Columbia,484,0,94,5,0,2,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,610
2019-09,Florida,14077,0,44565,18261,4154,2361,1,35,18,0,3688,1198,13,854,83,29,0,0,229,130,33,39,47,0,89815
2019-09,Georgia,17501,1,10415,7843,601,533,0,15,13,0,1689,1145,6,11,0,0,0,0,15,5,1,0,0,0,39794
2019-09,Guam,0,0,123,58,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
2019-09,Hawaii,967,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,969
2019-09,Idaho,5828,4,3645,4776,395,229,0,8,11,0,334,491,1,59,13,7,0,0,1,13,1,0,2,0,15818
2019-09,Illinois,13011,442109,17639,9512,0,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483162
2019-09,Indiana,504,42656,15291,10734,1680,813,38,8,3,2,598,436,18,19,0,0,0,0,50,65,30,3,3,0,72951
2019-09,Iowa,4288,5258,131,2288,31,7,0,0,0,0,1,36,0,23,15,1,0,0,0,1,0,0,1,0,12081
2019-09,Kansas,1048,11,4405,4322,477,264,0,13,11,3,579,260,10,33,9,2,0,0,14,7,4,0,1,0,11473
2019-09,Kentucky,1675,265396,8526,6502,489,527,0,19,19,0,1675,1157,1,13,12,0,0,0,26,20,4,0,2,1,286064
2019-09,Louisiana,1784,80,8996,9417,786,632,0,7,9,0,930,782,12,0,0,0,0,0,12,14,2,0,0,0,23463
2019-09,Maine,441,4,2919,4439,265,211,1,0,1,0,70,99,1,26,17,0,0,0,4,9,2,0,1,0,8510
2019-09,Mariana Islands,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2019-09,Maryland,3189,10,2981,4714,131,39,0,1,2,0,64,131,1,64,31,0,0,0,0,25,2,1,0,0,11386
2019-09,Massachusetts,10377,0,3523,2370,468,150,7,0,1,0,10,2,1,2,0,0,0,0,38,37,4,1,0,0,16991
2019-09,Michigan,15531,3693,9135,11241,767,239,1,2,4,0,9,225,2,53,12,0,0,0,3,7,1,0,0,0,40925
2019-09,Minnesota,10138,20054,8131,14379,870,487,0,3,3,1,204,356,3,50,15,3,0,0,15,21,0,0,0,0,54733
2019-09,Mississippi,1691,0,6384,5653,380,345,0,14,8,1,1473,987,4,24,3,0,0,0,3,4,0,0,0,0,16974
2019-09,Missouri,2953,0,15032,13663,1559,1008,0,14,7,1,1412,901,9,225,32,2,0,0,37,54,10,4,1,0,36924
2019-09,Montana,1129,0,2651,4533,270,237,17,8,9,1,374,803,1,27,5,1,0,0,7,16,1,1,0,0,10091
2019-09,Nebraska,3234,48,63,1631,23,2,0,0,1,0,2,39,1,10,5,0,0,0,0,6,0,0,0,0,5065
2019-09,Nevada,1826,0,3985,2467,297,267,0,1,0,0,279,140,1,0,0,0,0,0,18,4,0,0,0,0,9285
2019-09,New Hampshire,1192,1,4458,2948,190,0,15,0,20,0,0,18,0,90,6,0,0,0,0,2,0,0,0,0,8940
2019-09,New Jersey,0,0,3760,3285,218,0,0,0,0,0,0,0,0,0,0,0,0,0,50,55,1,0,2,1,7372
2019-09,New Mexico,737,0,5517,3752,601,319,0,17,17,1,378,434,1,34,0,0,0,0,28,11,2,0,1,0,11850
2019-09,New York,3219,2026,8316,16334,1417,225,0,1,5,1,34,43,9,39,56,0,2,5,299,265,16,5,15,0,32332
2019-09,North Carolina,21099,136,1306,10756,941,211,0,14,15,1,1795,1424,6,467,88,15,8,3,7,10,2,0,1,0,38305
2019-09,North Dakota,227,35,1489,3300,134,107,9,1,0,0,45,86,1,2,0,0,0,0,3,15,0,0,1,0,5455
2019-09,Ohio,10321,154,17083,13048,1534,936,0,7,8,2,1039,442,11,91,16,12,0,0,32,23,7,1,0,0,44767
2019-09,Oklahoma,3284,0,8852,7851,1127,850,1,16,13,1,1762,1363,9,7,0,0,0,0,35,21,8,0,3,0,25203
